cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
09,Ciudad de México,0,Estatal,1001000001,Superficie continental,2020,1494.31528785,Kilómetros cuadrados
09,Ciudad de México,0,Estatal,1002000001,Población total,1910,720753,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1921,906063,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1930,1229576,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1940,1757530,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1950,3050442,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1960,4870876,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1970,6874165,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1980,8831079,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1990,8235744,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,1995,8489007,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,2000,8605239,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,2005,8720916,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,2010,8851080,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,2015,8985339,Personas
09,Ciudad de México,0,Estatal,1002000001,Población total,2020,9209944,Personas
09,Ciudad de México,0,Estatal,1002000002,Población total hombres,1995,4075902,Personas
09,Ciudad de México,0,Estatal,1002000002,Población total hombres,2000,4110485,Personas
09,Ciudad de México,0,Estatal,1002000002,Población total hombres,2005,4171683,Personas
09,Ciudad de México,0,Estatal,1002000002,Población total hombres,2010,4233783,Personas
09,Ciudad de México,0,Estatal,1002000002,Población total hombres,2020,4404927,Personas
09,Ciudad de México,0,Estatal,1002000003,Población total mujeres,1995,4413105,Personas
09,Ciudad de México,0,Estatal,1002000003,Población total mujeres,2000,4494754,Personas
09,Ciudad de México,0,Estatal,1002000003,Población total mujeres,2005,4549233,Personas
09,Ciudad de México,0,Estatal,1002000003,Población total mujeres,2010,4617297,Personas
09,Ciudad de México,0,Estatal,1002000003,Población total mujeres,2020,4805017,Personas
09,Ciudad de México,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,31.2,No especificada
09,Ciudad de México,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,29.2,No especificada
09,Ciudad de México,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,26.5,No especificada
09,Ciudad de México,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,25.5,No especificada
09,Ciudad de México,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,23.684798590101,No especificada
09,Ciudad de México,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,23.0131501976345,No especificada
09,Ciudad de México,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,31.4,No especificada
09,Ciudad de México,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,29.5,No especificada
09,Ciudad de México,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,27.1,No especificada
09,Ciudad de México,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,26.3,No especificada
09,Ciudad de México,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,11.708225446152,No especificada
09,Ciudad de México,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,24.1410053852783,No especificada
09,Ciudad de México,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,31,No especificada
09,Ciudad de México,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,28.8,No especificada
09,Ciudad de México,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,26,No especificada
09,Ciudad de México,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,24.7,No especificada
09,Ciudad de México,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,11.976573143949,No especificada
09,Ciudad de México,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2020,21.9792865841947,No especificada
09,Ciudad de México,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,7.7,No especificada
09,Ciudad de México,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,8.6,No especificada
09,Ciudad de México,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2005,10.2,No especificada
09,Ciudad de México,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2010,11.6,No especificada
09,Ciudad de México,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2015,14.3121612647112,No especificada
09,Ciudad de México,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2020,16.2126896048593,No especificada
09,Ciudad de México,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,1995,6.7,No especificada
09,Ciudad de México,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2000,7.5,No especificada
09,Ciudad de México,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2005,8.9,No especificada
09,Ciudad de México,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2010,10.2,No especificada
09,Ciudad de México,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2015,6.07563720664993,No especificada
09,Ciudad de México,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2020,14.5088888000029,No especificada
09,Ciudad de México,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,1995,8.6,No especificada
09,Ciudad de México,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2000,9.7,No especificada
09,Ciudad de México,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2005,11.3,No especificada
09,Ciudad de México,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2010,12.8,No especificada
09,Ciudad de México,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2015,8.23652405806124,No especificada
09,Ciudad de México,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2020,17.7745015076537,No especificada
09,Ciudad de México,0,Estatal,1002000010,Edad mediana,1995,25,Años
09,Ciudad de México,0,Estatal,1002000010,Edad mediana,2000,27,Años
09,Ciudad de México,0,Estatal,1002000010,Edad mediana,2005,29,Años
09,Ciudad de México,0,Estatal,1002000010,Edad mediana,2010,31,Años
09,Ciudad de México,0,Estatal,1002000010,Edad mediana,2015,32.80528,Años
09,Ciudad de México,0,Estatal,1002000010,Edad mediana,2020,35,Años
09,Ciudad de México,0,Estatal,1002000011,Edad mediana hombres,1995,24,Años
09,Ciudad de México,0,Estatal,1002000011,Edad mediana hombres,2000,26,Años
09,Ciudad de México,0,Estatal,1002000011,Edad mediana hombres,2005,28,Años
09,Ciudad de México,0,Estatal,1002000011,Edad mediana hombres,2010,29,Años
09,Ciudad de México,0,Estatal,1002000011,Edad mediana hombres,2020,34,Años
09,Ciudad de México,0,Estatal,1002000012,Edad mediana mujeres,1995,26,Años
